LEGEND;Richards;DeltaBlue;Crypto;RayTrace;EarleyBoyer;RegExp;Splay;NavierStokes;PdfJS;Mandreel;Gameboy;CodeLoad;Box2D;Score
186;19469;19479;22546;26335;20837;3687;12961;25571;12688;23062;33828;21296;21496;18309
187;19494;19294;22339;26334;20715;3680;13531;25448;12104;23107;33661;21305;21069;18229
188;19508;19472;22397;26835;20813;3702;13374;25622;12162;22797;33962;21321;21385;18303
189;19543;19373;22520;26177;20872;3669;17390;25499;12174;23129;33728;21305;21300;18634
190;19275;19459;22288;26513;20726;3716;13672;25423;12139;22538;33895;21340;21385;18261
191;19490;19326;22132;26177;20868;3709;16828;25525;12269;22517;31395;21295;20743;18404
192;19487;19359;22213;26569;20768;3683;13638;25525;12281;22819;33761;21295;21069;18264
193;19557;19425;22399;26182;20820;3720;17284;25398;12104;22819;33828;21261;21385;18613
194;19487;19803;22515;26770;21084;3680;13623;25596;12463;22667;33661;21287;20971;18348
195;19201;19353;22239;26317;21036;3683;17480;25351;12186;22775;33661;19332;21194;18444
196;19490;19406;22286;26454;20806;3702;14505;25525;12341;22710;33861;21379;21215;18383
197;19529;19366;22304;26439;20757;3680;13470;25474;12174;23197;33562;21308;21173;18255
198;19010;19505;22347;26714;21185;3731;14514;25423;12857;23197;32759;21293;20826;18413
199;18647;19902;21890;26687;20969;3673;16070;25545;12221;23152;31796;21131;21363;18406
200;19518;19492;22238;26428;21059;3728;13524;25571;12377;22995;33962;21377;21385;18354
201;19480;19425;22146;26246;20831;3705;13546;25448;12269;22907;33661;21358;21363;18269
202;19529;19465;22421;26909;20927;3633;15402;25448;12463;22559;34064;21348;21257;18499
203;19307;19492;22517;26714;20960;3728;15663;25545;12724;22973;33828;21313;21560;18612
204;19526;19373;22709;26566;20832;3702;17195;25571;12463;22907;31579;21257;21321;18587
205;19490;19300;22414;26277;20851;3687;14163;25448;12329;23107;33628;21399;21496;18366
206;19526;19399;22787;26407;21016;3676;17358;25571;12209;23107;31703;21231;21321;18589
207;19293;19472;22114;26485;20815;3633;17602;25545;12463;22710;31641;21128;21363;18524
208;19296;19439;22050;25996;20813;3713;13580;25499;12245;22907;33828;21289;21496;18254
209;19533;19287;22513;26714;20942;3698;17015;25423;12305;22517;31335;21141;21645;18520
210;19504;19498;22467;26317;21109;3683;13410;25423;12629;23197;32386;21337;20867;18265
211;19518;19571;22166;26418;20784;3691;14114;25474;12956;23107;32602;21329;21539;18398
212;19300;19379;22465;26397;21001;3676;17855;25448;12700;22907;32417;21369;21385;18672
213;19518;19379;22337;26835;20914;3709;17431;25398;12115;22863;32143;21405;21173;18579
214;19536;19478;22135;26365;20810;3698;17358;25499;12174;22753;33861;21249;21363;18614
215;19557;19452;22584;26936;20822;3640;13461;25376;12209;22581;33529;21334;21321;18266
216;19331;19492;22510;26293;21108;3735;14742;25398;12512;23062;33695;21193;20909;18433
217;19469;19472;22434;26788;20845;3731;17651;25499;12150;23129;33595;21340;21645;18725
