LEGEND;Richards;DeltaBlue;Crypto;RayTrace;EarleyBoyer;RegExp;Splay;NavierStokes;PdfJS;Mandreel;Gameboy;CodeLoad;Box2D;Score
338;19466;19559;22419;26143;20782;3698;13268;25423;12402;22004;33595;21102;21257;18185
339;19526;19505;22564;26566;21082;3691;17651;25423;12104;23107;33828;21180;21602;18713
340;19476;19221;21948;26569;20698;3713;15915;25525;11943;22688;33728;21249;21300;18424
341;19151;19507;22602;26640;20937;3662;16241;25499;12057;22951;33794;21180;21731;18548
342;19508;19459;22765;26492;21097;3709;17431;25525;12104;22688;33529;21210;21753;18686
343;19490;19294;22566;26507;20864;3691;13627;25545;12139;22624;33861;21219;21624;18295
344;19540;19419;22538;26324;20989;3728;17798;25474;12512;22645;31304;20999;21840;18626
345;19490;19293;21177;26677;20743;3709;17406;25448;11977;23017;33398;21151;21539;18530
346;19331;19664;22032;26286;20720;3683;17406;25423;12150;23062;33828;21165;21517;18609
347;19483;19373;22141;26822;20789;3751;17447;25499;12197;23017;31335;21030;21090;18529
348;19476;19743;22196;26465;20678;3687;16013;25545;11921;23062;33497;21083;21215;18465
349;19536;19518;22366;26492;20682;3694;13552;25448;12558;23084;33661;21157;21539;18336
350;19483;19373;22407;26481;20856;3683;15923;25474;12465;23107;33562;21137;21560;18548
351;19494;19392;22166;26439;20856;3716;15940;25448;12081;22156;33628;20755;21624;18422
352;19497;19459;22727;26291;21141;3683;18026;25525;12197;23129;31365;21087;21406;18625
353;19497;19399;22517;26835;21039;3735;17480;25499;12115;22885;33562;21156;21581;18692
354;19511;19333;22067;26344;20746;3716;13631;25351;12139;22819;33728;21184;21560;18251
355;19508;19399;22081;26533;20713;3720;16233;25423;12269;22841;31395;20943;21560;18415
356;19466;19796;22673;26862;21094;3698;17904;25448;12593;23129;33529;21193;20930;18780
357;19533;19624;22402;26539;20688;3669;13456;25499;12046;22333;33431;21125;21278;18197
358;19526;19280;22364;26808;20754;3716;17390;25423;12057;23174;33695;20981;21300;18622
359;19490;19439;21986;26169;20809;3736;13497;25499;11966;22559;33761;21198;21667;18222
360;19533;19452;22453;26444;21045;3724;17692;25545;12245;23062;31335;21078;21111;18581
361;19504;19375;22413;26460;20679;3731;17252;25474;12174;20731;33595;20983;21560;18472
362;19324;19459;22205;26418;20878;3713;13650;25499;12353;23152;33628;21099;21300;18295
363;19487;19326;22560;26539;20816;3716;13474;25525;12127;23040;33497;21275;21363;18284
364;19508;19273;22441;26344;21134;3698;18205;25545;12562;23017;31395;21122;21517;18663
365;19504;19306;22048;26788;21003;3644;17333;25525;12023;22732;33861;21162;21257;18576
366;19458;19432;22176;26465;20802;3694;13578;25545;12081;22710;33529;21178;20495;18175
367;19494;19571;22732;27010;20905;3731;17398;25474;12057;23062;33728;21117;21517;18713
368;19536;19340;22249;26454;20912;3705;17904;25571;12397;22951;33398;21239;21385;18694
369;19473;19579;22418;26270;20821;3724;13862;25571;12139;23017;33728;21150;21236;18316
370;19529;19280;22399;26776;20688;3720;17398;25448;12000;23129;33728;21081;21385;18626
371;19349;19393;22536;26481;20722;3724;13650;25571;12081;22841;33497;21245;21796;18300
372;19515;19419;22273;26862;21051;3747;13862;25423;12245;22951;33761;21144;21069;18344
373;19529;19333;22676;26361;20708;3676;17358;25448;12011;22885;33464;21110;21236;18573
374;19416;19498;22644;26996;20775;3697;17325;25423;12000;22378;33728;21133;21131;18590
375;19430;19326;22142;26277;20817;3728;16086;25376;11966;23062;33595;20604;21236;18418
376;19324;19353;22517;26428;20932;3702;16551;25423;12057;22863;33562;21186;21774;18558
377;19473;19558;22628;26439;20934;3709;13456;25448;12186;22134;33398;20754;21539;18220
378;19508;19518;22417;26418;20677;3736;13870;25525;12245;22495;33075;21180;21753;18304
379;19536;19465;22647;27232;20906;3680;16266;25398;11954;22973;33562;21218;21710;18589
380;19522;19248;22453;26492;20949;3676;18001;25448;12537;23084;30600;21141;21300;18580
381;19529;19657;22206;26788;20990;3709;16168;25499;12640;23017;33562;21263;20153;18544
382;19543;19558;22691;26856;20861;3691;14432;25525;12640;22863;33529;21142;21818;18490
383;19497;19432;22721;26539;20644;3640;13606;25423;12104;22517;33661;21077;21753;18254
384;19490;19227;22356;26169;20697;3709;15899;25376;12115;23107;33366;21192;21257;18443
385;19490;19406;22150;26186;20675;3709;15891;25499;12081;22929;33661;21192;21152;18439
386;19501;19207;22518;26376;20884;3709;17684;25351;12069;22819;33204;21002;21496;18600
387;19430;19618;22373;26459;20637;3691;16168;25571;11966;22929;33661;21283;21363;18505
388;19487;19293;22497;26234;20737;3640;17488;25571;12221;22819;33794;21190;21090;18585
389;19501;19353;22525;26566;20889;3709;15972;25499;12139;23017;33728;20777;21194;18492
390;19466;19584;22801;26539;20846;3687;17292;25398;11977;22710;33728;21174;21667;18639
391;19501;19406;22352;26613;20983;3691;17561;25448;12273;22995;33661;21201;20971;18645
392;19487;19346;22768;26329;20733;3698;16266;25474;12081;22841;33497;21236;21215;18508
393;19501;19399;22638;25988;20779;3731;15980;25423;12127;22885;33333;21193;21131;18467
394;19554;19459;22751;26640;21051;3713;17512;25423;12558;22995;33628;21275;21581;18765
