LEGEND;Richards;DeltaBlue;Crypto;RayTrace;EarleyBoyer;RegExp;Splay;NavierStokes;PdfJS;Mandreel;Gameboy;CodeLoad;Box2D;Score
172;18212;3994;17237;26444;20764;3724;17537;25499;12057;21748;33595;20864;21321;15997
173;18226;4483;18249;26096;20710;3691;15654;25571;12069;21832;33398;21092;21131;16045
174;18230;4648;18295;26465;20738;3709;17692;25326;12600;21896;31124;21157;21069;16228
175;18226;4053;16754;26566;20727;3587;17765;25571;12221;21982;31244;20993;21517;15917
176;19261;3451;17930;26566;20509;3676;14171;25525;12512;21875;33761;21003;20252;15656
177;18219;4840;18635;26481;20753;3655;13593;25474;12245;21961;33366;20852;21602;16031
178;18191;3709;17878;26835;20834;3698;13391;25545;12174;22047;31796;21131;21278;15612
179;18188;2757;12804;26640;20832;3691;17252;25474;12221;21854;31641;20936;21278;15129
180;19264;3749;18298;26251;20735;3665;16787;25571;12162;14995;32203;21143;21363;15509
181;18223;3888;18289;26492;20688;3658;17675;25648;12023;21705;30237;21122;21257;15906
182;18198;4245;16355;26835;20801;3705;15874;25525;12629;22004;33497;21007;21342;15977
183;18209;4562;18396;26566;21087;3680;17798;25474;12389;21961;31426;21083;21215;16239
184;18170;3068;17883;26687;20741;3713;17439;25525;12535;21918;33464;21017;21496;15788
185;18191;3980;17216;26470;20603;3716;13276;25499;12000;22026;33595;20889;21173;15643
186;18212;4767;18386;26465;20949;3698;17439;25525;12221;21832;31154;21082;21028;16218
187;18202;3432;18419;26539;20717;3702;17586;25525;12092;21939;31304;21083;21363;15834
188;19275;3101;18291;26229;20783;3709;15899;25448;12475;22004;33529;21116;21278;15759
189;18159;3815;17528;26402;20538;3644;17814;25474;11954;22026;31124;21116;21028;15843
190;18138;4007;17404;26528;20762;3662;15328;25376;12104;21918;33268;20916;21300;15824
191;18233;4205;16133;26480;20889;3644;17464;25525;12475;22004;31672;21161;20723;15925
192;18205;4159;16223;26267;20773;3665;14310;25448;12605;18810;33366;21093;21131;15568
193;18184;3960;17048;25972;20720;3691;14090;25474;12377;22156;33497;20828;20826;15688
194;18230;3022;18180;26272;20545;3676;17512;25525;12500;18756;31184;20993;21406;15475
195;18244;3141;18197;26761;20600;3662;17325;25448;12600;21875;31064;21128;21194;15712
196;18230;3557;18231;26485;20691;3713;16355;25525;12257;21684;33761;20775;20723;15817
197;18219;3577;18372;26560;20879;3713;16420;25423;12162;22026;31456;20998;14649;15368
198;18219;4119;16977;26413;20863;3716;16657;25474;12174;21939;31518;21166;21257;15912
199;18170;4159;16443;26640;20922;3716;14302;25448;12582;21982;33962;21054;21236;15834
200;18226;4854;18578;26835;21047;3665;16355;25448;12115;22004;33861;21072;21173;16293
201;18166;4628;18376;25922;20699;3694;16094;25525;12011;21748;33431;20874;21342;16103
202;18191;3960;17894;26566;20787;3702;13380;25525;11898;21790;33431;20973;21090;15675
203;18159;3875;18062;26775;20637;3683;13976;25398;12593;21684;33236;21095;20930;15753
204;18230;4179;16595;26096;20610;3683;16241;25525;12197;21811;33728;20995;21069;15891
205;19233;4331;17499;26265;20908;3729;16103;25423;12257;21982;31703;21018;21236;16042
206;18237;4390;17682;26465;20837;3702;13379;25474;12127;21875;33562;21127;21257;15836
207;18202;3663;17992;26539;20796;3673;17618;25525;12057;21663;31335;21085;20888;15837
208;18216;4370;17509;26513;20666;3735;13951;25571;11943;21918;33431;20921;21236;15841
209;19282;3815;17862;26475;20836;3731;15801;25423;12451;18846;33728;21083;21321;15813
210;18205;3167;18464;26761;20659;3705;15972;25571;12558;21918;33562;20984;21321;15754
211;18233;4020;17723;26936;20725;3705;17781;25545;11989;21896;33595;21059;21406;16092
212;18212;4344;15918;26586;20778;3720;16885;25571;12197;22156;30600;21025;21517;15909
213;18159;3273;18436;26517;20679;3713;14049;25448;12500;21790;33962;21034;21363;15627
214;18205;4245;17064;26392;20768;3702;15972;25474;11909;21875;32916;21034;21300;15909
215;18241;3960;17592;26350;20643;3687;13379;25571;12139;21622;33497;21075;21321;15673
216;18223;2916;18138;26936;20739;3705;17512;25545;12500;21875;31244;21137;21090;15657
217;18177;2995;17172;26492;20465;3747;13284;25545;12081;19387;33628;21116;21427;15192
218;18241;4351;17601;26689;20665;3716;15907;25499;11887;21896;33172;20771;21257;15979
219;18216;3722;18097;26465;20520;3728;13508;25499;12233;22004;33366;21046;21385;15678
220;18205;4463;17613;26307;20839;3705;16706;25474;12092;21918;30600;21121;21475;16013
221;18191;3531;17737;26270;20500;3724;15817;25545;12562;21622;33529;20662;21517;15772
222;18202;3511;18200;26074;20622;3709;13552;25525;12150;21769;33301;21151;20805;15551
223;19254;4828;18430;26391;20609;3698;13442;25423;12000;21939;33595;20765;20826;16000
224;19257;3412;18182;26344;20396;3683;15891;25525;12477;21939;33728;21058;21363;15849
225;19275;3564;17768;26048;20711;3694;16665;25474;12317;21790;33728;21131;20930;15895
226;18209;4139;16511;26669;20783;3702;14025;25499;12523;21832;33728;21102;21581;15803
227;19289;4822;18285;26936;20634;3691;17504;25545;12523;22004;33595;21046;21236;16449
228;19307;4866;18374;26492;20717;3724;16608;25499;12257;22113;33562;21151;21560;16398
229;18226;3974;17267;27057;20945;3709;17659;25423;12512;21832;31214;21022;20971;15982
230;18181;3676;18318;26465;20264;3728;15907;25525;12512;22004;33497;21064;21194;15882
231;18184;3980;17245;26862;20893;3709;16836;25448;12092;21918;31610;21023;21194;15901
232;18198;4688;18313;26217;20676;3735;14253;25474;12593;21896;33301;20675;21173;16030
233;18241;3108;18151;26492;20655;3702;17667;25622;12550;21918;31094;21072;20805;15706
234;18195;3114;18234;26631;20810;3716;14220;25423;12000;21961;33366;20842;21300;15509
235;18223;4073;16318;26761;21087;3751;17969;25545;12329;21684;33728;21114;21406;16078
236;18219;4172;16906;26402;20854;3691;17455;25545;11943;21961;33497;21066;21131;16014
237;18202;4423;16896;26454;20774;3676;16958;25545;12150;21790;31518;18477;21111;15816
