LEGEND;Richards;DeltaBlue;Crypto;RayTrace;EarleyBoyer;RegExp;Splay;NavierStokes;PdfJS;Mandreel;Gameboy;CodeLoad;Box2D;Score
96;19526;19697;22530;26566;21003;3658;17749;25376;12340;22995;33695;21287;21560;18732
97;19554;19445;22536;26770;21021;3698;17276;25423;12057;22289;33366;21245;21152;18585
98;19557;19392;22544;26475;20822;3456;15972;25376;12069;23062;33794;21231;20971;18397
99;19564;19413;22535;26147;20908;3662;14253;25474;12629;22517;33895;21339;21300;18376
100;19511;19406;22719;26246;20677;3698;13635;25423;12139;22907;34132;21319;21560;18316
101;19511;19579;22405;26433;20726;3698;13547;25376;12115;22624;33695;21263;21818;18285
102;19233;19439;22445;25892;20698;3640;15956;25448;12438;22581;33828;21168;21517;18453
103;19508;19433;22291;26517;20876;3781;17700;25423;12305;22995;31641;21054;21173;18594
104;19522;19392;22235;26566;20899;3680;17480;25448;12011;23220;33236;20351;20805;18514
105;19490;19275;22165;26539;21042;3680;17235;25474;12081;22841;33794;21143;21560;18602
106;19360;19459;22100;26418;20958;3673;15907;25448;12127;22797;33661;21292;21342;18464
107;19526;19472;22400;26418;20681;3702;13442;25571;12162;23129;33661;21293;20475;18223
108;19515;19412;22442;26216;20923;3709;13522;25376;12221;22797;33628;21212;20950;18239
109;19476;19698;22073;26566;20921;3728;17439;25474;12209;22775;33398;21212;21069;18620
110;19324;19456;20118;26788;20932;3651;17561;25448;12736;22400;33794;21242;21111;18509
111;19533;19518;22439;26769;20661;3744;13459;25474;12293;23129;31703;21111;21173;18225
112;19554;19531;22308;25996;20825;3687;13518;25398;12341;23107;32571;21331;21688;18260
113;19557;19478;22513;26229;20882;3683;13497;25351;12069;23152;33996;21296;21496;18296
114;19518;19301;22369;26566;20927;3669;17537;25448;12550;23152;31921;20568;21069;18552
115;19547;19413;22872;26135;20866;3687;13463;25474;12150;23288;33728;18537;21427;18119
116;19469;19366;22457;26640;20574;3713;13352;25398;12069;22995;33628;21017;21111;18209
117;19526;19267;22224;26243;21098;3673;17904;25525;12438;23040;31184;21162;21194;18566
118;19501;19313;22241;26314;21015;3724;17488;25499;12139;22581;34098;21228;20950;18604
119;19656;19168;22263;26486;20786;3744;13467;25448;12269;22907;31579;21187;21517;18196
120;19561;19261;22374;26048;20704;3720;16037;25525;12127;22667;33861;21252;21173;18464
121;19229;19419;22374;26371;20604;3680;16176;25448;12127;22432;34098;21150;21560;18469
122;19533;19512;22639;26613;21055;3680;15980;25499;12034;23129;34030;21289;21406;18573
123;19480;19525;22535;26334;20816;3728;17415;25448;12081;22929;33695;21286;21300;18642
124;19518;19386;22594;26935;21028;3665;17985;25525;12250;23310;33861;21156;21560;18772
125;19557;19670;22647;26156;20793;3680;17569;25499;12092;22995;33661;20710;21406;18623
126;19522;19459;22462;26288;20824;3713;15223;25448;12550;22907;33895;21160;21257;18486
127;19268;19465;22455;26687;21103;3637;16942;25545;12438;22710;31641;21063;21111;18497
128;19271;19280;22198;26566;21005;3709;17480;25448;12365;23084;31579;20887;20950;18510
129;19526;19207;21320;26714;20930;3658;15899;25525;12174;22951;33661;21242;21257;18424
130;19307;19004;22518;26640;20869;3669;14367;25448;12558;22474;33828;21354;21427;18359
131;19275;19432;22110;26344;20737;3658;13458;25448;12281;23062;33628;21148;21342;18219
132;19444;19359;22859;26781;20822;3709;13562;25376;12245;22474;33301;21360;21427;18293
133;19451;12734;20209;26371;20683;3698;15899;25499;12139;23220;33075;21286;21517;17759
134;19511;19465;22502;26459;20832;3698;13603;25474;12057;23152;33595;21148;21300;18283
135;19469;19439;22384;26270;20899;3673;15972;25423;12221;22907;33628;21266;21517;18507
136;19533;19525;22505;26243;21066;3669;17618;25525;12150;23107;31456;21162;21131;18556
137;19473;19597;22846;26687;20984;3720;17040;25499;12402;22995;31365;21146;21111;18583
138;19533;19387;22584;26714;20892;3637;17349;25525;12174;23197;31610;21150;21539;18571
139;19247;19399;22397;26492;21035;3521;17659;25398;12293;22995;31579;21135;21300;18492
140;11452;19533;22709;26496;20837;3709;16217;25474;12057;22819;33861;21261;21560;17826
141;19526;19511;22401;26391;21009;3698;17651;25423;12306;21684;33562;20929;21300;18576
142;19300;19538;22641;26714;20985;3644;17855;25423;12340;22624;33695;21281;21385;18687
143;19215;19545;22142;26788;20860;3687;16746;25448;12209;23062;31703;21192;21048;18468
144;19526;19326;22385;26909;20999;3487;16673;25474;12281;23017;31734;21101;21152;18430
145;19522;19333;22509;26392;20958;3724;16787;25571;12233;22797;31487;21098;21406;18503
146;19547;19419;22800;26481;20770;3694;13642;25525;12389;22863;33761;21251;21215;18332
147;19547;19452;22427;26277;20820;3347;17830;25448;12451;22819;31548;21131;21406;18451
148;19529;19408;22767;26130;20670;3728;17423;25525;12127;22841;33529;21227;20971;18602
149;19254;19392;22262;26339;21094;3698;17349;25525;12562;22951;31796;21128;21131;18557
150;19529;19492;22183;26376;20802;3716;13510;25499;12104;22775;33861;21242;21624;18279
151;19501;19425;22487;26407;20838;3740;13398;25499;12257;23062;33562;21301;21796;18331
152;19321;19333;22611;26402;20647;3673;13494;25622;12127;23084;33761;21177;21215;18245
153;19522;19445;22065;26412;21056;3709;17798;25499;12414;22907;33661;21257;21406;18698
154;19285;19432;22201;26714;21117;3665;17895;25525;12385;22973;33431;21333;21321;18692
155;19508;19465;22714;26475;20847;3669;13339;25448;12537;23017;33861;21163;21173;18308
156;19317;19261;22671;26936;20970;3724;16844;25525;12046;22559;31184;21105;21363;18472
157;19508;19030;22040;26344;21105;3676;17447;25351;12281;23062;31765;21170;21624;18534
158;19497;19348;22584;26350;21103;3655;17814;25448;12640;22517;33794;21334;21363;18709
159;19568;19485;22310;26613;21104;3724;13536;25448;12426;23062;33828;21146;21602;18371
160;19511;19333;22350;26260;20769;3702;13173;25448;12233;22645;33794;21280;21688;18235
161;19476;19340;22394;26303;21068;3694;17635;25448;12426;22841;31827;18562;21539;18414
162;19511;19293;22543;26539;21096;3687;17961;25596;12640;22602;33695;21328;21278;18741
163;19476;19578;22095;26270;20679;3644;17358;25398;12092;22841;33529;21202;21131;18536
164;19554;19412;22539;26344;21015;3698;15956;25545;12676;23174;32727;21360;21173;18561
165;19526;19425;22467;26936;21010;3640;15548;25423;12575;22156;33761;21204;20930;18463
166;19522;19579;22006;26465;20994;3601;18067;25448;12676;22995;33996;21277;21300;18723
167;19557;19468;22101;26581;20978;3655;18018;25448;12523;22797;32821;21295;21385;18673
168;19536;19277;22555;26492;20688;3644;15891;25448;11932;23107;34098;21251;20909;18448
169;19480;19518;22338;26113;21015;3698;17847;25571;12221;23129;31796;21213;21602;18622
170;19526;19452;22624;26714;20951;3665;17879;25525;12640;22973;32417;21281;21406;18713
171;19511;19267;22606;26527;20800;3728;13452;25376;12353;23242;33761;21315;21300;18324
172;19522;19386;22598;26217;20742;3728;15630;25423;12081;22973;33529;20874;21496;18453
173;19540;19392;22396;26428;20817;3698;13691;25499;12197;23129;33661;21210;21131;18291
174;19529;19261;22520;25530;20955;3705;15850;25474;12197;23040;33861;21196;21581;18489
175;19518;19445;22140;26237;20861;3633;15948;25545;12069;22134;33661;21202;20930;18372
176;19561;19445;22582;26554;21087;3720;17415;25351;12353;21726;31579;21144;21194;18513
177;19557;19581;22630;26270;20802;3658;14481;25448;12402;22929;33497;21227;21278;18388
178;19490;19604;22557;26538;21054;3691;17382;25376;12389;22819;31610;21175;21427;18595
179;19303;19412;22069;26246;20857;3694;15956;25474;12186;22885;33996;21261;21321;18475
180;19268;19320;22204;26651;21107;3644;17521;25525;12228;23084;33761;21233;20950;18610
181;19494;19433;22268;26317;20712;3669;17366;25448;12139;23107;33628;20784;21342;18568
182;19494;19353;22482;26237;20874;3731;14334;25545;12127;22863;33661;21227;21194;18345
183;19257;19386;22570;26391;20754;3724;13417;25423;12104;22885;33172;21309;21385;18229
184;19564;19392;22822;26465;20995;3705;17455;25545;11954;22775;33529;21315;21385;18652
185;19526;19511;22578;26681;20710;3694;16046;25448;12057;22929;33761;21216;20826;18492
186;19557;19432;22443;26492;20780;3611;15320;25448;12488;23062;33595;21240;21342;18464
187;19522;19412;22538;26714;20972;3702;16282;25448;12317;22819;31734;21181;21517;18505
188;19278;19415;22445;26241;20990;3640;17521;25474;12306;22973;33962;18481;21624;18457
189;19473;19624;22162;26522;21104;3731;17578;25423;12512;22732;31395;21120;21581;18612
190;19511;19406;22724;26835;20911;3702;17700;25423;12317;22753;31641;21096;21194;18600
