LEGEND;Richards;DeltaBlue;Crypto;RayTrace;EarleyBoyer;RegExp;Splay;NavierStokes;PdfJS;Mandreel;Gameboy;CodeLoad;Box2D;Score
286;18731;19161;20942;26096;20434;3683;13529;25300;11898;21192;33140;21299;20682;17844
287;18745;19062;20270;26714;20512;3683;17618;25423;11989;20588;32948;21292;21152;18197
288;18770;19075;20940;26122;20680;3658;14383;25351;12550;20448;33366;21269;21173;18001
289;18834;19088;21255;26270;20747;3676;17692;25326;12488;21072;30539;21359;20601;18212
290;18788;19042;20963;26169;20652;3705;17675;25326;11989;21293;33301;21312;21111;18294
291;18763;19022;21224;26022;20590;3669;18091;25228;12451;21333;30357;21359;21111;18238
292;18710;18857;21142;25848;20777;3705;16176;25351;12245;21212;33366;21324;20888;18168
293;18759;19135;20937;26048;20658;3611;15117;25300;12034;21132;33107;21287;20950;18010
294;18795;19187;21198;26566;20362;3694;17936;25300;12475;21252;31244;21212;20784;18273
295;18724;19055;21008;26270;20574;3702;17464;25250;11966;21092;33107;21353;20846;18232
296;18752;19055;21092;26225;20724;3683;14383;25326;12652;21252;33529;21340;20867;18080
297;18770;19101;21026;26613;20568;3716;17553;25275;12011;21333;32980;21337;20909;18291
298;18763;19022;20735;26492;20607;3724;17692;25351;12081;21212;32916;21343;21048;18287
299;18685;19029;21073;25954;20385;3709;17447;25351;11966;20568;32916;21377;21342;18200
300;18689;18982;20989;26566;20701;3640;17684;25326;11989;20629;32853;21325;21048;18218
301;18819;18943;21087;26196;20714;3680;17667;25300;12550;21394;31094;21141;21111;18255
302;18738;19201;21119;26243;20612;3702;13424;25398;12057;21013;30508;21272;20784;17779
303;18812;19141;21236;26418;20595;3629;17675;25203;12127;21013;33012;21410;20723;18261
304;18812;18956;21006;26022;20727;3073;13517;25300;11820;21313;33398;21251;21236;17649
305;18710;18963;21044;26190;20591;3691;13591;25228;12034;20548;33301;21340;20846;17849
306;18618;19181;20148;26640;20527;3702;17252;25275;11943;21072;32821;21318;21048;18171
